Time (min);Temperature (°C);Weight (mg);Weight (%);Heat Flow (mW);Temperature Difference (°C);Temperature Difference (µV);Sample Purge Flow (mL/min);Deriv. Weight (%/°C)
0.002388889;24.43316;14.8675;99.99663707;2.029483;0.1527794;0.9634171;100.0333;0.06705197
0.004166667;24.43835;14.86712;99.99408125;2.016239;0.1507674;0.9507438;99.97743;0.0670492
0.0125;24.44523;14.86674;99.99152542;2.014248;0.1504627;0.9488262;100.0364;0.0670455
0.02083334;24.43817;14.86634;99.98883508;2.010899;0.1499534;0.9456181;100.0028;0.06704929
0.02916666;24.43706;14.86596;99.98627926;2.006242;0.1492488;0.9411766;99.97988;0.06704988
0.0375;24.44572;14.86555;99.98352166;2.000735;0.1484142;0.9359165;100.0028;0.06704524
0.04583334;24.4437;14.86514;99.98076406;1.99418;0.1474192;0.9296475;99.98492;0.06704632
0.05416668;24.45367;14.86472;99.9779392;1.986449;0.1462468;0.9222595;99.98098;0.06704094
0.0625;24.45678;14.86432;99.97524886;1.977404;0.144872;0.9135988;100.0365;0.06703928
0.07083332;24.46161;14.8639;99.972424;1.967137;0.143312;0.9037706;100.0046;0.06703668
0.07916666;24.4589;14.8635;99.96973366;1.955873;0.1416015;0.8929934;99.9614;0.06703813
0.0875;24.47394;14.86308;99.9669088;1.944223;0.1398313;0.8818409;99.98368;0.06703
0.09583332;24.47804;14.86266;99.96408394;1.93251;0.1380505;0.8706219;100.0163;0.06702776
0.1041666;24.47905;14.86222;99.96112456;1.921136;0.1363208;0.8597254;100.0327;0.06702722
0.1125;24.488;14.86178;99.95816519;1.910134;0.1346419;0.8491538;100.0061;0.06702234
0.1208333;24.48567;14.86136;99.95534033;1.899106;0.1329603;0.8385634;100.0052;0.06702361
0.1291666;24.49117;14.86092;99.95238095;1.88792;0.131256;0.8278289;99.98669;0.06702061
0.1375;24.49492;14.86051;99.94962335;1.876886;0.129573;0.8172306;99.99796;0.06645149
0.1458333;24.509;14.86009;99.94679849;1.866166;0.1279385;0.8069356;100.0303;0.06644536
0.1541667;24.51135;14.85968;99.94404089;1.855786;0.1263527;0.7969498;99.94215;0.06644434
0.1625;24.52491;14.85923;99.94101426;1.845332;0.1247528;0.7868775;100.0201;0.0664384
0.1708334;24.52275;14.8588;99.93812214;1.835052;0.1231795;0.7769722;100.0175;0.06643936
0.1791666;24.52461;14.85838;99.93529728;1.824901;0.1216311;0.7672192;99.97862;0.06643853
0.1875;24.54371;14.85798;99.93260694;1.814683;0.1200671;0.7573721;100.0247;0.06643015
0.1958334;24.54587;14.85755;99.92971482;1.804838;0.1185592;0.747878;100.0328;0.0664292
0.2041667;24.55752;14.85712;99.92682271;1.794451;0.1169666;0.7378521;99.92361;0.06642405
0.2125;24.57024;14.85672;99.92413236;1.784391;0.1154217;0.7281274;100.0364;0.0664184
0.2208333;24.58225;14.8563;99.92130751;1.774136;0.1138423;0.7181888;99.96749;0.06586694
0.2291667;24.5864;14.8559;99.91861716;1.764052;0.1122902;0.708421;100.0091;0.06586497
0.2375;24.59208;14.85548;99.91579231;1.753944;0.1107361;0.698638;100.0407;0.06586224
0.2458334;24.60268;14.85507;99.91303471;1.743828;0.1091804;0.6888452;99.91202;0.06585712
0.2541666;24.62377;14.85466;99.91027711;1.733802;0.1076355;0.6791218;100.0343;0.06584688
0.2625;24.63227;14.85423;99.90738499;1.72389;0.106101;0.669469;100.0061;0.06584275
0.2708334;24.64835;14.85378;99.90435835;1.713578;0.1045059;0.6594321;100.0372;0.06583488
0.2791667;24.65641;14.85336;99.90153349;1.703028;0.1028746;0.649167;99.91359;0.06583092
0.2875;24.66989;14.85295;99.89877589;1.692921;0.1013099;0.6393213;100.0511;0.0652887
0.2958333;24.68966;14.85254;99.89601829;1.682815;0.09974151;0.6294545;100.0286;0.06528057
0.3041667;24.70002;14.8521;99.89305892;1.672709;0.09817548;0.6195997;99.95034;0.0652763
0.3125;24.71747;14.85167;99.8901668;1.662762;0.09662899;0.6098706;100.049;0.06526906
0.3208333;24.72967;14.85122;99.88714017;1.652836;0.09508253;0.600143;99.99476;0.06526399
0.3291667;24.75205;14.85079;99.88424805;1.642725;0.09350629;0.5902276;99.95434;0.0652546
0.3375;24.76793;14.85035;99.88128867;1.632699;0.09193991;0.5803753;100.0306;0.06473004
0.3458333;24.78634;14.8499;99.87826204;1.622328;0.09032139;0.5701929;99.98749;0.06472258
0.3541666;24.79604;14.8495;99.8755717;1.612646;0.08880792;0.5606717;100.0014;0.06471862
0.3625;24.82054;14.84908;99.87274684;1.602496;0.08722056;0.550685;100.0304;0.0647086
0.3708334;24.83684;14.84868;99.8700565;1.592417;0.0856421;0.5407547;100.0027;0.0647019
0.3791666;24.85774;14.84827;99.8672989;1.582591;0.08409999;0.5310535;99.9563;0.06418982
0.3875;24.8783;14.84786;99.8645413;1.572752;0.08255461;0.5213314;100.0104;0.06418169
0.3958334;24.89993;14.84745;99.8617837;1.562345;0.08092122;0.5110533;99.94311;0.06417307
0.4041666;24.9219;14.84706;99.85916061;1.551806;0.07926648;0.5006403;100.0724;0.06416426
0.4125;24.94434;14.84668;99.85660479;1.541688;0.07767199;0.4906078;99.9972;0.06366535
0.4208333;24.9694;14.84628;99.85391445;1.531248;0.07602954;0.4802706;100.0117;0.06365519
0.4291667;24.99378;14.84587;99.85115685;1.520958;0.07440547;0.47005;100.0223;0.06364521
0.4375;25.02084;14.84546;99.84839925;1.51073;0.07278702;0.4598658;99.95518;0.06363406
0.4458333;25.05028;14.84506;99.84570891;1.500844;0.07121711;0.4499878;100.0458;0.06314137
0.4541667;25.07768;14.84465;99.8429513;1.49084;0.06962639;0.4399784;99.92062;0.06313055
