Time (min);Temperature (°C);Weight (mg);Weight (%);Heat Flow (mW);Temperature Difference (°C);Temperature Difference (µV);Sample Purge Flow (mL/min);Deriv. Weight (%/°C)
0.002555556;22.12142;14.60691;99.99938386;2.455166;0.2267298;1.416349;100.004;0.02365554
0.004166667;22.12534;14.60676;99.99835695;2.453124;0.22641;1.414364;99.94276;0.02365503
0.0125;22.13108;14.60661;99.99733005;2.452908;0.2263694;1.414121;100.0236;0.02365428
0.02083334;22.1307;14.60646;99.99630314;2.452551;0.2263069;1.413741;99.99569;0.02365433
0.02916666;22.12614;14.60632;99.9953447;2.452295;0.226261;1.413464;99.99149;0.02365492
0.0375;22.1358;14.60617;99.99431779;2.451739;0.226167;1.412889;100.0183;0.02365366
0.04583334;22.1392;14.60602;99.99329089;2.450715;0.2260006;1.411864;99.99212;0.0236532
0.05416668;22.14342;14.60589;99.9924009;2.449774;0.2258434;1.410901;99.99132;0.02365265
0.0625;22.14806;14.60576;99.99151092;2.44869;0.2256633;1.409796;99.97272;0.02365204
0.07083332;22.15454;14.60562;99.99055247;2.447632;0.2254846;1.408703;100.0362;0.02365118
0.07916666;22.15272;14.60551;99.98979941;2.446358;0.2252751;1.407416;100.018;0.02365142
0.0875;22.16051;14.60541;99.98911481;2.444972;0.2250485;1.406021;99.98707;0.02365039
0.09583332;22.15861;14.6053;99.98836174;2.443687;0.2248404;1.404738;99.98441;0.02365064
0.1041666;22.1637;14.60519;99.98760868;2.442206;0.2246024;1.403267;99.9793;0.02364996
0.1125;22.17246;14.60508;99.98685562;2.44078;0.2243679;1.401826;100.0229;0.0236488
0.1208333;22.1759;14.60496;99.98603409;2.439585;0.2241676;1.400599;100.0395;0.02364834
0.1291666;22.1848;14.60486;99.98534949;2.43888;0.2240408;1.399833;99.95741;0.0235083
0.1375;22.18749;14.60475;99.98459643;2.437714;0.2238454;1.398636;99.98351;0.02350806
0.1458333;22.1904;14.60463;99.9837749;2.436214;0.2235997;1.397124;100.1041;0.02350778
0.1541667;22.19744;14.6045;99.98288492;2.43447;0.2233154;1.395373;99.92734;0.02350713
0.1625;22.20781;14.60438;99.98206339;2.43301;0.2230715;1.393878;99.99442;0.02350617
0.1708334;22.21356;14.60425;99.98117341;2.431198;0.2227728;1.392042;99.99806;0.02350564
0.1791666;22.2201;14.60412;99.98028343;2.429302;0.22246;1.39012;99.99999;0.02350502
0.1875;22.22726;14.60401;99.97953036;2.427486;0.2221565;1.388259;100.0135;0.02350436
0.1958334;22.23978;14.60391;99.97884576;2.425414;0.2218127;1.386149;100.0123;0.02350318
0.2041667;22.24273;14.6038;99.9780927;2.423531;0.2214986;1.384223;99.9768;0.0235029
0.2125;22.2452;14.60367;99.97720271;2.421328;0.2211374;1.382;99.98921;0.02350267
0.2208333;22.26298;14.60353;99.97624427;2.419234;0.2207886;1.37986;100.025;0.023501
0.2291667;22.2724;14.6034;99.97535428;2.417391;0.2204742;1.377941;100.0228;0.02336718
0.2375;22.28228;14.60329;99.97460122;2.415293;0.2201198;1.375772;99.98382;0.02336622
0.2458334;22.29716;14.60314;99.97357431;2.41297;0.2197284;1.373376;100.0063;0.02336477
0.2541666;22.30982;14.60303;99.97282125;2.410934;0.219381;1.371254;100.0238;0.02336354
0.2625;22.32615;14.60291;99.97199973;2.408986;0.2190401;1.369183;99.9568;0.02336194
0.2708334;22.33248;14.6028;99.97124666;2.407168;0.218719;1.367234;99.99864;0.02336131
0.2791667;22.34407;14.60266;99.97028822;2.405249;0.2183838;1.365196;99.98982;0.02336017
0.2875;22.35335;14.60254;99.96946669;2.402947;0.2179877;1.36278;99.99293;0.02335925
0.2958333;22.3767;14.60241;99.96857671;2.400516;0.2175664;1.360214;100.0032;0.02322848
0.3041667;22.38413;14.60231;99.96789211;2.397976;0.2171279;1.357541;100.0288;0.0232278
0.3125;22.3997;14.6022;99.96713904;2.395344;0.2166742;1.354775;100.006;0.02322636
0.3208333;22.42472;14.60208;99.96631752;2.392592;0.216199;1.351877;100.012;0.02322404
0.3291667;22.43922;14.60195;99.96542753;2.389832;0.2157205;1.348962;99.97169;0.0232227
0.3375;22.45884;14.60182;99.96453755;2.386818;0.2152006;1.345791;100.021;0.02309688
0.3458333;22.47756;14.6017;99.96371603;2.383752;0.214671;1.342562;99.99234;0.02309512
0.3541666;22.48764;14.60157;99.96282604;2.380654;0.2141361;1.3393;100.0015;0.02309417
0.3625;22.51402;14.60145;99.96200452;2.377281;0.2135533;1.335745;99.98494;0.02309166
0.3708334;22.53259;14.6013;99.96097761;2.37381;0.2129534;1.332086;99.9911;0.02308989
0.3791666;22.55943;14.60117;99.96008763;2.370466;0.2123685;1.328526;99.99637;0.02296706
0.3875;22.57968;14.60102;99.95906072;2.367084;0.2117736;1.324909;100.0218;0.02296534
0.3958334;22.60718;14.6009;99.9582392;2.363583;0.2111588;1.321169;99.97712;0.022963
0.4041666;22.63258;14.60078;99.95741768;2.359854;0.2105047;1.317189;99.99931;0.02296081
0.4125;22.65506;14.60066;99.95659615;2.355928;0.2098188;1.313011;99.99666;0.02284298
0.4208333;22.68138;14.60053;99.95570617;2.351628;0.2090738;1.308466;100.032;0.02284171
0.4291667;22.69932;14.6004;99.95481618;2.347742;0.2083918;1.304314;99.96561;0.02284084
0.4375;22.733;14.60026;99.95385774;2.343652;0.2076713;1.29993;100.0343;0.02272944
0.4458333;22.7596;14.60013;99.95296776;2.339404;0.2069244;1.295384;99.98764;0.02272782
