Time (min);Temperature (°C);Weight (mg);Weight (%);Heat Flow (mW);Temperature Difference (°C);Temperature Difference (µV);Sample Purge Flow (mL/min);Deriv. Weight (%/°C)
0.001888889;26.57206;12.33706;100.0004863;-0.1303211;-0.1785499;-1.135448;99.97099;0.04796922
0.004166667;26.61049;12.33706;100.0004863;-0.1134369;-0.1761216;-1.120194;99.99403;0.04792974
0.0125;26.64798;12.33706;100.0004863;-0.1108876;-0.1757588;-1.11792;100.0082;0.04792587
0.02083334;26.6839;12.33708;100.0006485;-0.1064191;-0.1751175;-1.113887;99.98676;0.04788328
0.02916666;26.72622;12.33712;100.0009727;-0.1000274;-0.1741994;-1.108111;100.0148;0.0478757
0.0375;26.74839;12.33714;100.0011348;-0.09184322;-0.1730208;-1.10069;100.0055;0.04782511
0.04583334;26.79229;12.3371;100.0008106;-0.08194832;-0.1715954;-1.091712;100.0103;0.04781906
0.05416668;26.82506;12.33705;100.0004053;-0.07023696;-0.1699081;-1.081083;100.0003;0.0477618
0.0625;26.86996;12.33699;99.99991894;-0.0561813;-0.1678806;-1.068302;99.97142;0.04775258
0.07083332;26.90558;12.33693;99.9994326;-0.04044851;-0.1656129;-1.054009;100.0362;0.04768394
0.07916666;26.93978;12.33685;99.99878415;-0.023006;-0.1630985;-1.038156;100.0129;0.04767804
0.0875;26.9694;12.33676;99.99805463;-0.004553;-0.1604326;-1.021334;99.96332;0.04760519
0.09583332;27.00162;12.33668;99.99740618;0.01416372;-0.157727;-1.004252;99.9787;0.04759908
0.1041666;27.04817;12.33659;99.99667666;0.0330067;-0.1550047;-0.9870618;100.0718;0.04751504
0.1125;27.08552;12.33651;99.99602821;0.05186674;-0.1522804;-0.9698526;99.97363;0.04750869
0.1208333;27.11457;12.33644;99.99546081;0.070619;-0.1495738;-0.9527525;99.96715;0.04742305
0.1291666;27.16182;12.33637;99.99489341;0.08969858;-0.1468205;-0.9353524;100.0007;0.04741545
0.1375;27.19664;12.33632;99.99448813;0.1086584;-0.1440863;-0.9180691;100.0202;0.0473257
0.1458333;27.22738;12.33626;99.99400178;0.1272146;-0.1414118;-0.9011591;99.97381;0.0473218
0.1541667;27.2627;12.3362;99.99351544;0.1458621;-0.1387225;-0.8841469;100.0009;0.0472306
0.1625;27.30288;12.33612;99.99286699;0.1645271;-0.1360313;-0.8671186;99.99832;0.04722317
0.1708334;27.33312;12.33605;99.99229959;0.1830789;-0.1333602;-0.8502162;99.99995;0.04712463
0.1791666;27.3678;12.33597;99.99165113;0.2010396;-0.1307771;-0.8338696;99.98145;0.04711987
0.1875;27.40716;12.33589;99.99100267;0.218838;-0.1282184;-0.8176731;100.0213;0.0470197
0.1958334;27.44186;12.3358;99.99027316;0.2366008;-0.1256654;-0.8015069;100.0074;0.04701313
0.2041667;27.47276;12.3357;99.98946259;0.2544474;-0.1231004;-0.7852592;100.0222;0.04700717
0.2125;27.50838;12.33561;99.98873308;0.2717245;-0.1206186;-0.7695356;99.94844;0.0468995
0.2208333;27.54551;12.33549;99.9877604;0.2887545;-0.1181736;-0.7540411;100.0068;0.0468914
0.2291667;27.5892;12.33536;99.98670665;0.3056006;-0.1157596;-0.7387429;100.0373;0.04677506
0.2375;27.62253;12.33526;99.98589608;0.3223017;-0.113369;-0.7235902;100.0062;0.04677033
0.2458334;27.65704;12.33513;99.98484234;0.3386981;-0.1110235;-0.7087211;99.96645;0.04665518
0.2541666;27.69266;12.33501;99.98386966;0.3548024;-0.1087212;-0.694122;100.0226;0.04664867
0.2625;27.72776;12.33486;99.98265381;0.3706028;-0.1064668;-0.6798274;99.97372;0.04652832
0.2708334;27.76286;12.33468;99.98119478;0.3857818;-0.1043048;-0.6661178;100.0447;0.04652152
0.2791667;27.79922;12.3345;99.97973575;0.4006475;-0.10219;-0.6527056;99.94931;0.04639492
0.2875;27.83513;12.33432;99.97827673;0.4149378;-0.1001616;-0.639841;100.0304;0.04638844
0.2958333;27.87092;12.33411;99.97657453;0.4290246;-0.09816569;-0.627182;100.0466;0.04638188
0.3041667;27.898;12.33393;99.97511551;0.4428256;-0.09621125;-0.6147838;99.92391;0.04625304
0.3125;27.93683;12.33375;99.97365648;0.4559294;-0.09435868;-0.6030299;100.0027;0.04624619
0.3208333;27.97469;12.33354;99.97195428;0.4685;-0.09258632;-0.5917856;100.027;0.04611172
0.3291667;28.01201;12.33332;99.97017103;0.4805747;-0.09088907;-0.5810192;99.95204;0.04610686
0.3375;28.04362;12.33307;99.96814461;0.4922816;-0.08924801;-0.5706097;100.1114;0.04597487
0.3458333;28.08757;12.33286;99.96644241;0.5038386;-0.08762925;-0.5603394;99.96466;0.04596709
0.3541666;28.12151;12.33261;99.96441598;0.5151009;-0.08605665;-0.550363;99.99216;0.04582974
0.3625;28.16174;12.33237;99.96247062;0.5253025;-0.08464098;-0.5413863;99.99972;0.04582394
0.3708334;28.19206;12.33211;99.96036314;0.5351238;-0.08328447;-0.5327873;99.9629;0.0456883
0.3791666;28.23003;12.33187;99.95841777;0.5446322;-0.08197306;-0.5244728;100.004;0.04568195
0.3875;28.2666;12.33159;99.95614817;0.553667;-0.08073465;-0.5166246;99.9833;0.04567574
0.3958334;28.31531;12.3313;99.95379752;0.5625113;-0.07952782;-0.5089781;99.98094;0.0455348
0.4041666;28.35232;12.33101;99.95144687;0.57065;-0.07842738;-0.5020111;100.0348;0.0455303
0.4125;28.39402;12.3307;99.9489341;0.5782998;-0.0774011;-0.4955176;99.97589;0.04539058
0.4208333;28.42728;12.33041;99.94658345;0.5856956;-0.0764125;-0.4892634;100.0599;0.0453853
0.4291667;28.46969;12.33009;99.94398962;0.5927139;-0.07548072;-0.483371;99.96313;0.04524289
0.4375;28.50459;12.3298;99.94163897;0.5995062;-0.07458246;-0.477691;100.0039;0.045237
0.4458333;28.55197;12.3295;99.93920726;0.6063105;-0.07368548;-0.4720194;100.0085;0.04508948
0.4541667;28.59144;12.3292;99.93677555;0.612635;-0.07286114;-0.4668124;100.0188;0.04508232
0.4625;28.6389;12.32888;99.93418173;0.6182343;-0.07214862;-0.4623227;99.98035;0.04493053
0.4708334;28.66969;12.32858;99.93175002;0.6232914;-0.07151593;-0.4583428;100.0297;0.04492558
0.4791666;28.72138;12.32824;99.92899408;0.6277042;-0.07097924;-0.454977;99.95715;0.04477259
0.4875;28.75774;12.3279;99.92623815;0.6323432;-0.07040863;-0.451392;100.0307;0.04476676
0.4958334;28.80526;12.32762;99.92396855;0.636908;-0.06985074;-0.4478884;99.9622;0.04461192
0.5041666;28.84379;12.32731;99.92145578;0.6409594;-0.06937116;-0.4448872;100.0274;0.04460518
0.5125;28.88905;12.32699;99.91886196;0.6445562;-0.06896026;-0.4423261;99.96882;0.04444797
0.5208332;28.92738;12.32666;99.91618708;0.647647;-0.0686258;-0.440255;100.0091;0.04444194
0.5291666;28.98058;12.32634;99.91359326;0.650495;-0.06832879;-0.4384239;99.97179;0.04428358
0.5375;29.01878;12.32599;99.91075626;0.6532743;-0.06804145;-0.4366539;100.0294;0.04427885
0.5458334;29.0751;12.32566;99.90808138;0.6559142;-0.06777728;-0.4350334;100.006;0.04412049
0.5541668;29.11904;12.3253;99.90516333;0.658821;-0.06747711;-0.4331834;99.99176;0.04396078
0.5625;29.1655;12.32496;99.90240739;0.661461;-0.06721634;-0.431586;100.0033;0.04395384
0.5708332;29.20492;12.32461;99.8995704;0.6636814;-0.06701928;-0.4303976;99.96306;0.04379411
0.5791666;29.25668;12.32424;99.89657129;0.6658598;-0.06682874;-0.4292504;100.0039;0.04378647
0.5875;29.295;12.32387;99.89357218;0.6676026;-0.06670259;-0.4285168;100.0237;0.04378072
0.5958334;29.3455;12.32352;99.89073519;0.6691464;-0.06660828;-0.4279891;100.0074;0.04361841
0.6041668;29.39783;12.32318;99.88797925;0.6704468;-0.06655182;-0.4277054;100.0373;0.0434575
0.6125;29.45184;12.3228;99.88489908;0.67183;-0.0664848;-0.4273542;99.9708;0.04345016
0.6208334;29.49226;12.32246;99.88214315;0.6729658;-0.06645642;-0.4272525;100.0311;0.04328951
0.6291666;29.54952;12.32211;99.87930615;0.6742935;-0.06639884;-0.4269623;99.9707;0.04328226
0.6375;29.59727;12.32178;99.87663127;0.6749668;-0.0664392;-0.4273026;100.0243;0.04312049
0.6458332;29.6469;12.32143;99.87379428;0.6757397;-0.06646672;-0.4275616;99.94184;0.0431125
0.6541666;29.70203;12.32111;99.87120045;0.67654;-0.0664925;-0.4278106;100.0403;0.04294794
0.6625;29.75406;12.32076;99.86836346;0.6768384;-0.06659384;-0.4285467;99.99274;0.0427837
0.6708334;29.80672;12.32042;99.86560752;0.6774659;-0.06665066;-0.4289989;99.99134;0.04277563
0.6791668;29.86788;12.32006;99.86268947;0.678135;-0.06670268;-0.4294214;100.0184;0.04260672
0.6875;29.9114;12.31971;99.85985248;0.6786865;-0.06677349;-0.4299661;99.97362;0.0426014
0.6958332;29.97051;12.31938;99.8571776;0.6786728;-0.0669272;-0.4310444;99.98062;0.04243488
0.7041666;30.0267;12.31905;99.85450272;0.6789511;-0.0670412;-0.4318692;100.0263;0.04226782
0.7125;30.08761;12.3187;99.85166572;0.6786728;-0.06723862;-0.4332324;100.0161;0.0422602
0.7208334;30.13909;12.31836;99.84890978;0.6787255;-0.06738939;-0.4342969;99.93652;0.04209402
0.7291668;30.19874;12.31805;99.84639702;0.6786102;-0.06756712;-0.435537;100.0198;0.04208637
0.7375;30.24907;12.31771;99.84364108;0.6782653;-0.06777806;-0.4369911;100.0326;0.0419203
0.7458334;30.31574;12.31739;99.84104726;0.6777416;-0.0680188;-0.4386406;100.0178;0.04175312
0.7541666;30.373;12.31706;99.83837238;0.6774078;-0.06823282;-0.4401186;100.0141;0.04174604
0.7625;30.43206;12.31674;99.83577855;0.6770434;-0.06845191;-0.4416304;99.96336;0.04158036
0.7708332;30.48714;12.31644;99.83334684;0.6766132;-0.06868238;-0.4432174;100.0022;0.04141681
0.7791666;30.5507;12.31611;99.83067196;0.6763587;-0.06888895;-0.4446522;100.0016;0.04141012
0.7875;30.60797;12.31577;99.82791602;0.6760586;-0.06910188;-0.4461279;99.96805;0.0412472
0.7958334;30.67664;12.31547;99.82548432;0.6759582;-0.0692891;-0.4474409;100.0142;0.04108441
0.8041668;30.73808;12.31514;99.82280944;0.6757212;-0.06949694;-0.4488878;100.0341;0.04107834
0.8125;30.8009;12.31478;99.81989138;0.6751663;-0.06975312;-0.4506493;99.98931;0.04091698
0.8208332;30.85724;12.31444;99.81713545;0.6745788;-0.07001703;-0.4524631;99.99124;0.04075662
0.8291666;30.92723;12.31414;99.81470374;0.6741969;-0.07025011;-0.4540789;100.025;0.04074913
0.8375;30.9935;12.31382;99.81210991;0.673459;-0.070538;-0.4560508;100.0024;0.04058778
0.8458334;31.05642;12.31349;99.80943503;0.6727282;-0.0708266;-0.4580292;100.0053;0.04042737
